Epoch:48 | loss:1.29 | acc:0.5378 | prec0:0.6667 | prec1:0.4510 | prec2:0.5769 | recall0:0.3797  | recall1:0.6970 | recall2:0.5625
Epoch:49 | loss:1.06 | acc:0.5822 | prec0:0.5942 | prec1:0.5435 | prec2:0.6250 | recall0:0.5190  | recall1:0.7576 | recall2:0.5000
0.538005698005698
Epoch:0 | loss:1.04 | acc:0.4622 | prec0:0.4274 | prec1:0.3571 | prec2:0.5616 | recall0:0.6709  | recall1:0.1515 | recall2:0.5125
Epoch:1 | loss:0.97 | acc:0.4889 | prec0:0.4286 | prec1:0.5417 | prec2:0.5733 | recall0:0.6835  | recall1:0.1970 | recall2:0.5375
Epoch:2 | loss:1.22 | acc:0.5111 | prec0:0.4574 | prec1:0.5926 | prec2:0.5797 | recall0:0.7468  | recall1:0.2424 | recall2:0.5000
Epoch:3 | loss:1.22 | acc:0.5378 | prec0:0.5357 | prec1:0.5000 | prec2:0.5647 | recall0:0.5696  | recall1:0.4242 | recall2:0.6000
Epoch:4 | loss:0.88 | acc:0.5511 | prec0:0.5281 | prec1:0.5085 | prec2:0.6104 | recall0:0.5949  | recall1:0.4545 | recall2:0.5875
Epoch:5 | loss:1.15 | acc:0.4489 | prec0:0.4474 | prec1:0.3590 | prec2:0.6000 | recall0:0.2152  | recall1:0.6364 | recall2:0.5250
Epoch:6 | loss:1.31 | acc:0.4400 | prec0:0.3939 | prec1:0.3689 | prec2:0.5857 | recall0:0.1646  | recall1:0.6818 | recall2:0.5125
Epoch:7 | loss:1.23 | acc:0.5289 | prec0:0.4766 | prec1:0.5111 | prec2:0.6164 | recall0:0.6456  | recall1:0.3485 | recall2:0.5625
Epoch:8 | loss:1.04 | acc:0.5333 | prec0:0.4857 | prec1:0.5098 | prec2:0.6232 | recall0:0.6456  | recall1:0.3939 | recall2:0.5375
Epoch:9 | loss:1.06 | acc:0.4400 | prec0:0.4091 | prec1:0.3382 | prec2:0.6567 | recall0:0.1139  | recall1:0.6970 | recall2:0.5500
Epoch:10 | loss:1.17 | acc:0.5200 | prec0:0.4649 | prec1:0.4872 | prec2:0.6250 | recall0:0.6709  | recall1:0.2879 | recall2:0.5625
Epoch:11 | loss:1.10 | acc:0.5200 | prec0:0.4848 | prec1:0.4655 | prec2:0.6176 | recall0:0.6076  | recall1:0.4091 | recall2:0.5250
Epoch:12 | loss:0.81 | acc:0.5111 | prec0:0.4653 | prec1:0.4902 | prec2:0.5890 | recall0:0.5949  | recall1:0.3788 | recall2:0.5375
Epoch:13 | loss:1.12 | acc:0.5067 | prec0:0.4531 | prec1:0.4762 | prec2:0.6545 | recall0:0.7342  | recall1:0.3030 | recall2:0.4500
Epoch:14 | loss:1.12 | acc:0.5556 | prec0:0.5281 | prec1:0.5672 | prec2:0.5797 | recall0:0.5949  | recall1:0.5758 | recall2:0.5000
Epoch:15 | loss:1.22 | acc:0.5511 | prec0:0.5432 | prec1:0.5286 | prec2:0.5811 | recall0:0.5570  | recall1:0.5606 | recall2:0.5375
